ID	gsl.6mSOh.blup	gsl.1moIM.blup	gsl.S2hBuen.blup	gsl.4mSOb.blup	gsl.1hIM.blup	gsl.8MTO.blup	gsl.new.1.blup	gsl.3boP.blup	gsl.Peen.blup	gsl.3mSOp.blup	gsl.4boP.blup	gsl.R2hBuen.blup	gsl.5boP.blup	gsl.PE.blup	gsl.iBu.blup	gsl.4moIM.blup	gsl.new.2.blup	gsl.XhBz.blup	gsl.7mSh.blup	gsl.IM.blup	gsl.5mSOp.blup	gsl.2hPeen.blup	gsl.7mSOh.blup	gsl.XhPE.blup	gsl.Buen.blup	gsl.8mSOo.blup	gsl.Pren.blup
1_117	-0.0442034885365922	0.0499552771855352	-0.00360090825347646	-0.17900237788508	-0.155614878257275	-0.203829280186645	0.489215060431022	-0.0300023459350248	0.26779447215682	-0.149673321255769	-0.0247770485970675	-0.00947657718109454	-0.111622622661514	-0.269198231303896	0.0805082192804618	-0.0209033111342064	0.583451163268239	-0.178931992543236	-0.0932416535384705	-0.100180799298379	0.0466264580444183	0.0767296175606222	0.00203727350001516	-0.0595205705355833	0.0854983130484219	0.0284070647471819	-0.149778479680662
1_118	0.0407535302558287	-0.0459590956589748	-0.0253542253985318	-0.172814778944254	0.102986821759938	0.0207040650252343	-0.250818829715314	0.02606347354483	-0.0690075289276128	-0.231878338291177	-0.00830121350535545	-0.020962946276616	-0.0355617620546302	0.311039707234425	-0.0586816468096167	0.0842776113855148	-0.341642432519913	0.192577072817431	0.116331572816341	0.0908426940940425	-0.207896945896412	-0.0303204347382837	0.0324484156072018	0.0498468020221441	-0.0833932324453594	0.0306272925887554	-0.775192771661318
1_119	0.103059112836709	-0.0758657661131166	0.0421466985370185	-0.0524074890849472	0.211996190078142	0.157532873771436	-0.452179217169419	0.0152076767971024	-0.0582409343170324	-0.212315481968992	0.0116287300121138	0.0589217395170929	0.0101010091219054	0.384120262156643	-0.0320036676680594	0.134693905297783	-0.309927978979176	0.247780641771555	0.156731574544226	0.17306589421451	-0.09919764343602	0.0245037961084837	0.102034577526619	0.000994493669504797	-0.029196487476722	0.0396832693210161	-0.756899415410699
1_12	-0.00900379976477285	-0.0139746045984633	-0.0341240300189012	-0.252692576840954	0.20163831006899	-0.315507508561949	-0.641874018625553	0.0630203697837594	-0.143152348741615	-0.0847077589799541	0.0098811172758425	-0.0360230161054133	-0.0768034859221925	0.182071928466329	-0.0446116660707815	-0.108585689485481	-0.716585885539555	0.239171431771138	-0.238660350176861	-0.0312505087417098	-0.22518410421968	0.0215045269748528	-0.0356509502905981	-0.133444263026801	-0.12948588103735	-0.111014735655349	0.292951962636813
1_120	0.108315779810291	0.0622034988164315	0.0475006796736125	-0.301902233970678	0.262780329458711	0.195663880966666	-0.663220016162245	0.0496776560427456	-0.000788187047805956	0.0717864730317134	0.0836201901653798	0.0372360111730107	0.0738980542409902	0.189629504397243	-0.00728180873100359	-0.0494791999903613	-0.530726418820459	0.0732955658861952	0.144715548351487	0.00380367709929032	-0.17144793925601	0.140265293881714	0.0748808197886857	-0.276330937759669	-0.097646865507774	0.0488124958172175	0.297399513815878
1_122	0.0916019917269578	0.107215027357159	-0.0680577548165236	-0.0541802786657236	-0.210310374960774	-0.108394743426488	-0.754520043708275	0.0125602771678075	-0.158607184771858	0.0653063750552526	0.0273246544473187	-0.0568816593637284	-0.0103247840734944	0.216969084332911	-0.0867792115552957	-0.187498961302775	-0.447062958260501	0.211364437953159	-0.017693505228198	0.0172352185873306	-0.048220371922717	-0.126808862135444	0.0412626823943559	-0.224594237960298	-0.103013735420549	0.0576523218939261	0.293093188675303
1_124	-0.054845593786864	-0.0136260630795087	0.0453902709301965	0.00675913041778479	-0.24120497320266	-0.125831619645545	0.693190861883226	0.0455237252269313	0.0102675767442638	-0.0735203996450315	0.0163641255734967	0.0547640790177346	-0.0045386613967312	-0.103390179003773	0.0915728143314527	0.0707517793428291	0.650725252040994	-0.0929059950285797	-0.0281464923914735	0.0333274914077545	-0.0354348109887091	0.00381634476171202	-0.027857221007496	0.0331427614681042	0.121666764030143	-0.0505546585561822	0.0213025452721034
1_125	0.0311055765855651	-0.0409984531079507	-0.00303775907418441	0.126704039192779	-0.0385399376935215	-0.105799717553034	0.686261402130558	-0.0221826835294006	0.24508222172499	-0.166462173862975	-0.0134164966293146	-0.00718524744621892	-0.117026159236689	-0.212246044150376	0.17470728884887	-0.21041562586814	0.729911274291076	-0.12551264309053	-0.0521919253948027	0.0335475865464144	0.125543155283356	0.0499261653481808	0.0470347159519405	0.0513591009442946	0.207376207701793	-0.11425547232858	-0.135200378352108
1_128	0.0513060105059097	-0.0523436945391751	-0.0837112182046805	-0.392880584208174	-0.0822940452016035	0.0488276829707209	-0.556350539417154	0.0214810543376806	-0.15853425692442	0.0165127647264224	0.0636771917514175	-0.0931261606176726	-0.00849801117132335	0.172935289852006	-0.179949343824682	-0.0940934692278969	-0.670783454952569	0.0299864695470351	-0.0634417707871385	-0.20954944322551	-0.129557219727272	-0.109194899989627	-0.0049761404282026	-0.331311786772003	-0.223758230616732	0.0157179592338901	0.226840417772761
1_129	-0.185562392164416	-0.0120984416734223	-0.20379312142059	-0.499543819201387	-0.0957999954056145	-0.222655853759166	-0.606246168498611	-0.0740144685833695	-0.479162426954793	-0.0194916332798634	0.0127887269532825	-0.231836258666799	0.0263394811786625	0.221031651622667	-0.215895072715928	0.136049093330438	-0.742734159702808	-0.0356968744474083	-0.2032965978421	-0.131872441542162	-0.811976097149081	-0.472444711358451	-0.0853580741142721	-0.209171927834499	-0.284581911733285	-0.0969332964297459	0.296596000339266
